,Video,All participants_confidence,None_confidence,Basic or Advanced_confidence,Tutor_confidence,All participants_accuracy_pc,None_accuracy_pc,Basic or Advanced_accuracy_pc,Tutor_accuracy_pc
0,1,1.95,1.6666666666666667,2.0,2.142857142857143,66.66666666666666,66.66666666666666,37.5,100.0
1,2,2.0,2.0,2.0,2.0,23.809523809523807,50.0,12.5,14.285714285714285
2,3,1.85,2.0,1.7142857142857142,1.8571428571428572,85.71428571428571,83.33333333333334,75.0,100.0
3,4,1.8,1.6666666666666667,1.5714285714285714,2.142857142857143,57.14285714285714,16.666666666666664,62.5,85.71428571428571
4,5,2.0,2.0,2.2857142857142856,1.7142857142857142,57.14285714285714,33.33333333333333,50.0,85.71428571428571
5,6,1.8,2.0,1.7142857142857142,1.7142857142857142,47.61904761904761,16.666666666666664,37.5,85.71428571428571
6,7,1.75,1.3333333333333333,2.142857142857143,1.7142857142857142,52.38095238095239,16.666666666666664,50.0,85.71428571428571
7,8,2.05,1.3333333333333333,2.4285714285714284,2.2857142857142856,95.23809523809523,83.33333333333334,100.0,100.0
8,9,1.85,2.0,2.0,1.5714285714285714,76.19047619047619,66.66666666666666,75.0,85.71428571428571
9,10,1.6,1.1666666666666667,1.7142857142857142,1.8571428571428572,76.19047619047619,83.33333333333334,50.0,100.0
10,11,1.736842105263158,1.5,2.142857142857143,1.5,76.19047619047619,66.66666666666666,75.0,85.71428571428571
11,12,1.8,1.3333333333333333,1.8571428571428572,2.142857142857143,71.42857142857143,50.0,62.5,100.0
